PostCode,PostcodeNummers,PostcodeLetters,Latitude,Longitude
1000AA,1000,AA,52.37777895,4.90558954
1000AB,1000,AB,52.37777895,4.90558954
1000AC,1000,AC,52.37777895,4.90558954
1000AD,1000,AD,52.37777895,4.90558954
1000AE,1000,AE,52.37777895,4.90558954
1000AG,1000,AG,52.37777895,4.90558954
1000AH,1000,AH,52.37777895,4.90558954
1000AJ,1000,AJ,52.37777895,4.90558954
1000AK,1000,AK,52.37777895,4.90558954
1000AL,1000,AL,52.37777895,4.90558954
1000AM,1000,AM,52.37777895,4.90558954
1000AN,1000,AN,52.37777895,4.90558954
1000AP,1000,AP,52.37777895,4.90558954
1000AR,1000,AR,52.37777895,4.90558954
1000AS,1000,AS,52.37777895,4.90558954
1000AT,1000,AT,52.37777895,4.90558954
1000AV,1000,AV,52.37777895,4.90558954
1000AW,1000,AW,52.37777895,4.90558954
1000AX,1000,AX,52.37777895,4.90558954
1000AZ,1000,AZ,52.37777895,4.90558954
1000BA,1000,BA,52.37777895,4.90558954
1000BB,1000,BB,52.37777895,4.90558954
1000BC,1000,BC,52.37777895,4.90558954
1000BD,1000,BD,52.37777895,4.90558954
1000BE,1000,BE,52.37777895,4.90558954
1000BG,1000,BG,52.37777895,4.90558954
1000BH,1000,BH,52.37777895,4.90558954
1000BJ,1000,BJ,52.37777895,4.90558954
1000BK,1000,BK,52.37777895,4.90558954
1000BL,1000,BL,52.37777895,4.90558954
1000BM,1000,BM,52.37777895,4.90558954
1000BN,1000,BN,52.37777895,4.90558954
1000BP,1000,BP,52.37777895,4.90558954
1000BR,1000,BR,52.37777895,4.90558954
1000BS,1000,BS,52.37777895,4.90558954
1000BT,1000,BT,52.37777895,4.90558954
1000BV,1000,BV,52.37777895,4.90558954
1000BW,1000,BW,52.37777895,4.90558954
1000BX,1000,BX,52.37777895,4.90558954
1000BZ,1000,BZ,52.37777895,4.90558954
1000CA,1000,CA,52.37777895,4.90558954
1000CB,1000,CB,52.37777895,4.90558954
1000CC,1000,CC,52.37777895,4.90558954
1000CD,1000,CD,52.37777895,4.90558954
1000CE,1000,CE,52.37777895,4.90558954
1000CG,1000,CG,52.37777895,4.90558954
1000CH,1000,CH,52.37777895,4.90558954
1000CJ,1000,CJ,52.37777895,4.90558954
1000CK,1000,CK,52.37777895,4.90558954
1000CL,1000,CL,52.37777895,4.90558954
1000CM,1000,CM,52.37777895,4.90558954
1000CN,1000,CN,52.37777895,4.90558954
1000CP,1000,CP,52.37777895,4.90558954
1000CR,1000,CR,52.37777895,4.90558954
1000CS,1000,CS,52.37777895,4.90558954
1000CT,1000,CT,52.37777895,4.90558954
1000CV,1000,CV,52.37777895,4.90558954
1000CW,1000,CW,52.37777895,4.90558954
1000CX,1000,CX,52.37777895,4.90558954
1000CZ,1000,CZ,52.37777895,4.90558954
1000DB,1000,DB,52.37777895,4.90558954
1000EA,1000,EA,52.37777895,4.90558954
1000EB,1000,EB,52.37777895,4.90558954
1000EE,1000,EE,52.37777895,4.90558954
1000EG,1000,EG,52.37777895,4.90558954
1000EV,1000,EV,52.37777895,4.90558954
1000EX,1000,EX,52.37777895,4.90558954
1000GA,1000,GA,52.37777895,4.90558954
1000GC,1000,GC,52.37777895,4.90558954
1000GD,1000,GD,52.37777895,4.90558954
1000GG,1000,GG,52.37777895,4.90558954
1000GJ,1000,GJ,52.37777895,4.90558954
1000GK,1000,GK,52.37777895,4.90558954
1000GM,1000,GM,52.37777895,4.90558954
1000GP,1000,GP,52.37777895,4.90558954
1000GR,1000,GR,52.37777895,4.90558954
1000GT,1000,GT,52.37777895,4.90558954
1000HB,1000,HB,52.37777895,4.90558954
1000HC,1000,HC,52.37777895,4.90558954
1000HD,1000,HD,52.37777895,4.90558954
1000HE,1000,HE,52.37777895,4.90558954
