MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen,longitude,latitude
Liander N.V.,Liander N.V. (NW),,De Ruyterkade Steigers,1011AA,1011AB,AMSTERDAM,NL,ELK,KVB,34,1.0,0.4706,1.0,0.29,3x25,13601,0.4118,0.2059,1.3,52.37777895,4.90558954
Liander N.V.,Liander N.V. (NW),,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,38,1.0,0.5789,1.0,0.34,3x25,14672,0.36840000000000006,0.2632,1,52.37741248,4.908366485
Liander N.V.,Liander N.V. (NW),,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,19,1.0,0.0526,1.0,0.58,3x25,4026,0.47369999999999995,0.0,1.5,52.37633964,4.906366778
Liander N.V.,Liander N.V. (NW),,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,1.0,0.36840000000000006,1.0,0.63,3x25,3239,0.31579999999999997,0.0526,1,52.3755845,4.910773815
,Liander N.V. (NW),,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,14,1.0,0.9286,1.0,0.29,1x35,19220,0.5,0.35710000000000003,1.6,52.37587508,4.902921301
,Liander N.V. (NW),,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,1.0,1.0,1.0,0.67,1x25,4238,0.1429,0.047599999999999996,1.1,52.3756894,4.902931444
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9048,1.0,0.48,1x35,8360,0.381,0.381,1.1,52.37543484,4.902830653
,Liander N.V. (NW),,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,1.0,0.6154,1.0,0.46,3x25,9634,0.3077,0.07690000000000001,1,52.37464881,4.903881878
Liander N.V.,Liander N.V. (NW),,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,15,1.0,0.8,1.0,0.4,3x25,13024,0.6667000000000001,0.6,1.3,52.37412891,4.904894217
,Liander N.V. (NW),,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,29,1.0,0.8621,1.0,0.38,1x35,2146,0.4828,0.4138,1.3,52.374012,4.905070261
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,1.0,0.7,1.0,0.5,1x35,5926,0.55,0.45,1,52.37390359,4.905291585
Liander N.V.,Liander N.V. (NW),,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,32,1.0,0.9063,1.0,0.44,1x35,7583,0.25,0.1563,1.3,52.37371616,4.905609
,Liander N.V. (NW),,Prins Hendrikkade,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,12,1.0,0.75,1.0,0.42,3x25,4463,0.5,0.25,1.3,52.37343285,4.906105172
,Liander N.V. (NW),,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,12,1.0,0.8332999999999999,1.0,0.33,1x35,8599,0.25,0.0,1.4,52.37327418,4.906393574
,Liander N.V. (NW),,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8332999999999999,1.0,0.44,3x25,3936,0.5556,0.44439999999999996,1.1,52.3730859,4.906764357
,Liander N.V. (NW),,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,20,1.0,0.95,1.0,0.5,1x35,2372,0.35,0.15,1.2,52.37295977,4.906985012
Liander N.V.,Liander N.V. (NW),,Buiten Bantammerstraat,1011AX,1011AX,AMSTERDAM,NL,ELK,KVB,17,1.0,0.8234999999999999,1.0,0.59,3x25,3850,0.7059000000000001,0.6470999999999999,1,52.37401026,4.904412316
,Liander N.V. (NW),,Schippersstraat,1011AZ,1011AZ,AMSTERDAM,NL,ELK,KVB,30,1.0,0.7667,1.0,0.53,1x35,2805,1.0,0.7333,2,52.37329842,4.905631107
Liander N.V.,Liander N.V. (NW),,Schippersstraat,1011BA,1011BA,AMSTERDAM,NL,ELK,KVB,19,0.9473999999999999,0.36840000000000006,1.0,0.63,3x25,2267,0.5789,0.31579999999999997,1,52.37349878,4.905649899
Liander N.V.,Liander N.V. (NW),,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,ELK,KVB,24,1.0,0.9582999999999999,1.0,0.58,1x35,3404,0.5,0.4167,1.2,52.37278311,4.906879699
Liander N.V.,Liander N.V. (NW),,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,30,0.9333,0.7667,1.0,0.6,3x25,3490,0.5,0.4667,1.1,52.37264624,4.906582461
Liander N.V.,Liander N.V. (NW),,Binnenkant AB,1011BE,1011BG,AMSTERDAM,NL,ELK,KVB,28,1.0,0.7143,1.0,0.5,1x35,2068,0.1429,0.07139999999999999,1.2,52.3744218,4.903799567
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,34,1.0,0.9412,1.0,0.5,1x35,2867,0.5294,0.5,1.1,52.37365295,4.904445567
,Liander N.V. (NW),,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,22,1.0,0.9091,1.0,0.45,3x25,5646,0.3182,0.1364,1.2,52.37342859,4.904855797
,Liander N.V. (NW),,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,0.5,1x35,2307,0.125,0.125,1,52.37324366,4.905149053
,Liander N.V. (NW),,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,1.0,0.9565,1.0,0.87,1x35,2004,0.3043,0.21739999999999998,1.2,52.37300124,4.905577539
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,1.0,0.7143,1.0,0.67,3x25,3051,0.1905,0.1905,1,52.3729016,4.905754835
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,18,1.0,0.8889,1.0,0.78,3x25,2845,0.16670000000000001,0.0556,1.4,52.37276488,4.90600043
,Liander N.V. (NW),,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,1.0,1.0,1.0,0.67,1x35,1765,0.2,0.1333,1.2,52.37262875,4.906249579
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,29,1.0,0.7931,1.0,0.62,3x25,2753,0.4828,0.4483,1.2,52.37505515,4.902747641
Liander N.V.,Liander N.V. (NW),,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,0.9677,0.9355,1.0,0.48,3x25,2314,0.45159999999999995,0.45159999999999995,1.1,52.37461522,4.902534889
,Liander N.V. (NW),,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,23,1.0,0.6522,1.0,0.61,3x25,2324,0.5652,0.5217,1,52.37423873,4.90250337
,Liander N.V. (NW),,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,1.0,0.9697,1.0,0.64,1x25,2256,0.7273000000000001,0.7273000000000001,1,52.37385739,4.902743391
,Liander N.V. (NW),,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,1.0,1.0,1.0,0.82,1x25,1415,0.9545,0.9545,1,52.37335915,4.903098287
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,0.9643,0.9286,1.0,0.43,1x25,3662,0.7857,0.7857,1,52.37315656,4.903483163
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,37,1.0,0.5676,1.0,0.51,3x25,1742,0.5405,0.5405,1,52.37293756,4.903857287
Liander N.V.,Liander N.V. (NW),,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,25,1.0,0.8,1.0,0.4,1x35,2183,0.72,0.76,1,52.37265763,4.904363975
,Liander N.V. (NW),,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,21,1.0,0.9048,1.0,0.48,1x25,2038,0.619,0.5714,1,52.37247242,4.904705504
