volgnr,lat,lon,label
2,52.296635,4.980631,2258
3,52.299503,4.97049,2258
4,52.370714,4.941262,2258
8,52.346023,4.793406,2400
9,52.316121,4.960273,2258
10,52.323956,4.884042,2258
11,52.358078,4.918196,2258
12,52.331058,4.865887,2258
14,52.343378,4.807294,2258
16,52.345106,4.886752,2258
17,52.383213,4.836061,2258
18,52.355107,4.993351,2258
20,52.346094,4.893066,2258
21,52.347303,4.779887,2258
22,52.382064,4.791675,2258
23,52.325519,4.863121,2258
26,52.33115,4.864258,2400
28,52.362583,4.932638,4080
30,52.409704,4.930142,2258
31,52.326846,4.860406,2258
32,52.362724,4.931829,6480
33,52.362013,4.975952,2258
34,52.352755,4.994062,2258
35,52.343807,4.925522,1440
36,52.38928,4.947995,2258
37,52.291007,4.969675,2880
39,52.325275,4.984565,2258
40,52.300856,4.992834,2258
41,52.356198,4.852014,2400
42,52.374403,4.79285,2258
43,52.382898,4.837872,2258
44,52.420053,4.901753,2258
45,52.363192,4.941455,2160
46,52.349775,4.879361,2258
47,52.380891,4.801517,4560
48,52.342839,4.814755,2258
49,52.364857,4.937357,960
51,52.299508,4.990075,2258
55,52.35544,4.926282,1920
56,52.347527,4.781542,2258
58,52.365062,4.831045,1920
59,52.402548,4.920341,2258
60,52.322876,4.982372,2258
61,52.343525,4.806133,2258
63,52.364316,4.831069,3360
64,52.36122,4.980451,2258
65,52.339396,4.894652,2258
66,52.348537,4.814741,2258
67,52.352523,4.821265,2258
69,52.325052,4.857215,1440
70,52.316807,4.946378,2258
72,52.383054,4.915934,1200
73,52.348802,4.808236,2640
74,52.367825,4.831862,2258
77,52.289214,4.973561,2258
78,52.350543,4.884548,2880
80,52.416313,4.906012,2258
82,52.413263,4.920978,2258
83,52.350312,4.815599,2258
85,52.342677,4.87143,2258
87,52.341475,4.910726,960
88,52.408053,4.923869,2258
89,52.424016,4.890786,2258
90,52.35053,4.831241,4800
91,52.327438,4.981054,2258
93,52.316399,4.98573,2258
94,52.359165,4.819463,2258
96,52.323744,4.86832,2258
97,52.359525,4.825257,2258
98,52.369134,4.833064,2258
99,52.299198,4.994168,2258
100,52.367973,4.830759,2258
101,52.36192,4.977494,1440
104,52.423401,4.890029,2258
106,52.346791,4.787114,2258
107,52.300777,4.998758,2258
108,52.348231,4.78912,2258
109,52.407993,4.92459,2258
110,52.355486,4.935793,1920
111,52.40932,4.917081,2258
112,52.419964,4.906399,2258
114,52.326652,4.982616,2258
115,52.304508,4.967598,2258
117,52.38148,4.80076,1680
118,52.302915,4.96688,2258
119,52.348077,4.785438,2258
120,52.375766,4.830999,2258
121,52.323738,4.866926,2258
122,52.344434,4.825139,2258
123,52.348988,4.775505,2258
124,52.351575,4.996141,2258
126,52.34703,4.819031,2258
127,52.346361,4.803601,2258
128,52.326585,4.978715,2258
129,52.409279,4.929603,2258
130,52.323734,4.88689,2258
131,52.343329,4.792077,2258
132,52.374062,4.822209,1440
133,52.296637,4.980939,2258
134,52.343872,4.824017,2258
135,52.342603,4.810562,2258
136,52.343769,4.806511,2258
137,52.351516,4.788269,2258
138,52.361638,4.934527,10320
139,52.308337,4.962636,2258
141,52.348288,4.777422,2258
142,52.399005,4.922245,2258
143,52.299198,4.970551,2258
144,52.300444,4.990521,2258
145,52.351905,4.77134,2258
147,52.35597,4.935363,4320
148,52.301239,4.970693,2258
149,52.423891,4.888994,2258
150,52.342626,4.80613,2258
152,52.353095,4.782464,2258
153,52.411986,4.889687,2258
154,52.342977,4.908714,960
155,52.349936,4.814194,2258
156,52.374808,4.822332,2258
157,52.385672,4.921106,2258
158,52.343455,4.924968,2258
159,52.34446,4.809995,2258
160,52.315668,4.969385,2400
161,52.304605,4.969606,2258
162,52.400493,4.947164,2258
163,52.352302,4.879699,4320
164,52.300969,4.99449,2258
165,52.350491,4.913418,10080
166,52.344786,4.790384,3600
167,52.295753,4.993348,2258
168,52.354925,4.787078,2258
169,52.352158,4.939966,1440
171,52.354591,4.852474,2258
172,52.409975,4.899012,2258
173,52.350186,4.776031,2258
175,52.35818,4.861062,1920
176,52.323633,4.875934,2258
177,52.420691,4.895395,1440
178,52.321963,4.98081,2258
180,52.401771,4.919512,2258
181,52.300586,4.990066,2258
182,52.342367,4.804578,2258
183,52.361452,4.935322,15360
184,52.359345,4.992242,2258
186,52.360502,4.826492,2258
188,52.349891,4.814195,2160
189,52.369639,4.86517,480
190,52.328692,4.979825,2258
192,52.34194,4.865481,0
193,52.314213,4.977318,2258
194,52.321301,4.94387,2880
195,52.35205,4.879599,2880
197,52.378915,4.79276,2258
198,52.408095,4.894286,2258
199,52.382747,4.795323,2258
201,52.402268,4.920109,2258
202,52.370983,4.94358,2400
203,52.391181,4.937311,2258
204,52.415948,4.88291,2258
205,52.299795,4.997989,2258
206,52.362189,4.977404,2258
207,52.416367,4.905997,2258
209,52.400945,4.912718,2258
211,52.41042,4.902226,2258
212,52.364462,4.942279,480
213,52.32045,4.961977,2258
214,52.361022,4.82446,2258
215,52.343729,4.801918,2258
216,52.349793,4.879273,2258
217,52.324728,4.985098,2258
219,52.374112,4.82146,2258
220,52.352173,4.808397,2258
221,52.350308,4.816802,2258
222,52.323908,4.984474,2258
225,52.347817,4.79438,4320
227,52.374617,4.821865,2258
228,52.423118,4.899749,2258
229,52.300406,4.992618,2258
230,52.352324,4.779319,1920
231,52.346927,4.808921,2258
232,52.353837,4.941887,1440
233,52.410234,4.903021,2258
234,52.407018,4.930464,2258
235,52.401894,4.918732,2258
236,52.289496,4.97712,1920
237,52.350776,4.80573,2258
240,52.410482,4.906531,13440
241,52.377583,4.766226,2258
243,52.345775,4.875077,2258
244,52.319343,4.966549,2258
245,52.389767,4.9437,2258
246,52.321471,4.943707,3360
247,52.360289,4.981443,2258
248,52.351412,4.861098,2880
249,52.375981,4.830967,2258
250,52.358444,4.924504,4320
251,52.359136,4.99148,4320
252,52.361754,4.929652,1440
253,52.343411,4.948859,2258
254,52.353098,4.81568,2258
255,52.360142,4.85182,1
256,52.410122,4.902023,2258
257,52.409472,4.930644,2258
259,52.347785,4.889143,1440
260,52.417151,4.897698,2258
261,52.349757,4.879449,2258
262,52.348914,4.782022,2258
263,52.34564,4.81786,2258
264,52.348321,4.91008,1440
266,52.367853,4.832082,2258
267,52.368154,4.831065,2258
268,52.348041,4.819942,2880
269,52.300383,4.996445,2258
270,52.339188,4.898777,2258
271,52.382333,4.870103,960
272,52.320245,4.985446,2258
273,52.346673,5.008938,4320
274,52.350723,4.895363,1920
275,52.353835,4.941167,2258
276,52.353605,4.778553,2258
277,52.325438,4.982363,2258
278,52.350668,4.855559,2400
279,52.407093,4.929037,2258
280,52.308696,4.962398,2258
281,52.346557,4.801382,2258
283,52.37421,4.946264,2258
285,52.323399,4.964633,2258
287,52.301095,4.991615,2258
288,52.353286,4.788215,2258
289,52.421704,4.903499,2258
290,52.351959,4.995434,2258
291,52.378652,4.792279,2258
293,52.35353,4.860501,2258
294,52.342616,4.871944,2258
295,52.3794,4.857213,1680
296,52.357633,4.921709,5760
297,52.352088,4.780658,2258
298,52.420969,4.895201,2258
299,52.374508,4.821499,2258
300,52.355104,4.801299,2258
301,52.379254,4.792286,2258
302,52.355278,4.843497,2258
